X_class,X_description,X_posterior,Y_class,Y_description,Y_posterior,block_id,confidence,dimension,item_id,participant_id,rating
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=typical; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.999995846047052,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9990878053209935,combined_high_repeat_1,5.0,Mental Demand,mentaldemand,P002,21.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=typical; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999989737068717,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9990878053209935,combined_high_repeat_1,5.0,Physical Demand,physicaldemand,P002,21.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=typical; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.999995846047052,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9990878053209935,combined_high_repeat_1,5.0,Temporal Demand,temporal,P002,21.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=typical; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999988164133425,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9990878053209935,combined_high_repeat_1,5.0,Performance,performance,P002,2.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=typical; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999950551767379,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9990878053209935,combined_high_repeat_1,5.0,Effort,effort,P002,21.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999919463532646,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9990878053209935,combined_high_repeat_1,5.0,Frustration,frustration,P002,19.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.999995885055409,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_2,4.0,Mental Demand,mentaldemand,P002,20.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=typical; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999988429854781,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_2,5.0,Physical Demand,physicaldemand,P002,20.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=typical; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999988429854781,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_2,5.0,Temporal Demand,temporal,P002,21.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999648915972207,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_2,4.0,Performance,performance,P002,16.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999434118030582,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_2,4.0,Effort,effort,P002,17.0
