axis,class_id,class_weight,conditional_probability,feature,is_modal_state,state
Y,Y1,0.5332490256492219,0.9316939884216545,decision_time_change,1,higher
Y,Y1,0.5332490256492219,0.003321873523491014,decision_time_change,0,lower
Y,Y1,0.5332490256492219,0.06498413805485448,decision_time_change,0,same
Y,Y1,0.5332490256492219,0.9318633184573196,interaction_exploration_change,1,higher
Y,Y1,0.5332490256492219,0.06501300328227622,interaction_exploration_change,0,lower
Y,Y1,0.5332490256492219,0.003123678260404215,interaction_exploration_change,0,same
Y,Y1,0.5332490256492219,0.003321873523491013,response_speed_change,0,higher
Y,Y1,0.5332490256492219,0.9317827341365997,response_speed_change,1,lower
Y,Y1,0.5332490256492219,0.06489539233990921,response_speed_change,0,same
Y,Y1,0.5332490256492219,0.9320355254950988,body_movement_change,1,higher
Y,Y1,0.5332490256492219,0.06486782559933403,body_movement_change,0,lower
Y,Y1,0.5332490256492219,0.0030966489055671924,body_movement_change,0,same
Y,Y1,0.5332490256492219,0.06501227364946675,accuracy_change,0,higher
Y,Y1,0.5332490256492219,0.560385451563197,accuracy_change,1,lower
Y,Y1,0.5332490256492219,0.37460227478733615,accuracy_change,0,same
Y,Y2,0.46675097435077806,0.0037034424634636333,decision_time_change,0,higher
Y,Y2,0.46675097435077806,0.35665250020471406,decision_time_change,0,lower
Y,Y2,0.46675097435077806,0.6396440573318223,decision_time_change,1,same
Y,Y2,0.46675097435077806,0.1448608629727071,interaction_exploration_change,0,higher
Y,Y2,0.46675097435077806,0.21555899521045857,interaction_exploration_change,0,lower
Y,Y2,0.46675097435077806,0.6395801418168343,interaction_exploration_change,1,same
Y,Y2,0.46675097435077806,0.35665250020471406,response_speed_change,0,higher
Y,Y2,0.46675097435077806,0.003602142498064329,response_speed_change,0,lower
Y,Y2,0.46675097435077806,0.6397453572972216,response_speed_change,1,same
Y,Y2,0.46675097435077806,0.4273657039990786,body_movement_change,0,higher
Y,Y2,0.46675097435077806,0.07437400568003309,body_movement_change,0,lower
Y,Y2,0.46675097435077806,0.49826029032088837,body_movement_change,1,same
Y,Y2,0.46675097435077806,0.0035337712958043036,accuracy_change,0,higher
Y,Y2,0.46675097435077806,0.21551240646038755,accuracy_change,0,lower
Y,Y2,0.46675097435077806,0.7809538222438082,accuracy_change,1,same
