X_class,X_description,X_posterior,Y_class,Y_description,Y_posterior,block_id,confidence,dimension,item_id,participant_id,rating
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=fast; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999975323809539,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9986969596097376,combined_high_repeat_1,5.0,Mental Demand,mentaldemand,P002,21.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=fast; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.999999016735025,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9986969596097376,combined_high_repeat_1,5.0,Physical Demand,physicaldemand,P002,21.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=fast; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999975323809539,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9986969596097376,combined_high_repeat_1,5.0,Temporal Demand,temporal,P002,21.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=fast; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999985982834515,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9986969596097376,combined_high_repeat_1,5.0,Performance,performance,P002,2.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=fast; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999940618079551,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9986969596097376,combined_high_repeat_1,5.0,Effort,effort,P002,21.0
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999494067360034,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9986969596097376,combined_high_repeat_1,5.0,Frustration,frustration,P002,19.0
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999719532097971,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_2,4.0,Mental Demand,mentaldemand,P002,20.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=fast; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999982264481433,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_2,5.0,Physical Demand,physicaldemand,P002,20.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=fast; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999982264481433,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_2,5.0,Temporal Demand,temporal,P002,21.0
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9998600260146608,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_2,4.0,Performance,performance,P002,16.0
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9998730264176247,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_2,4.0,Effort,effort,P002,17.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=fast; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999991081632851,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_2,4.0,Frustration,frustration,P002,18.0
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999904695085935,Y1,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.9999943693065625,combined_high_repeat_1,5.0,Mental Demand,mentaldemand,P003,21.0
