X_class,X_class_description,X_posterior,X_posterior_1,X_posterior_2,answer_decision_rt,answer_decision_state,answer_max_abs_velocity,answer_micro_adjust_count,answer_path_ratio,answer_path_state,answer_pause_rate,answer_pause_state,answer_reverse_count,answer_reverse_state,answer_speed_state,block_id,confidence,confidence_decision_rt,confidence_decision_state,dimension,item_id,participant_id,profile_path,questionnaire_path,rating,task_type
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=fast; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999975323809539,0.9999975323809539,2.4676190464251277e-06,2.5045,typical,80.687,0.0,1.0,direct,0.798562587342783,typical,0.0,few,high,combined_high_repeat_1,5.0,0.9273,fast,Mental Demand,mentaldemand,P002,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P002\20260726T051950Z_2c7171\paxsm-response-calibration\PAXSMPersonalKnobReference_Data\PAXSM_PersonalKnobProfile_P002_20260726_172234_completed.csv,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P002\20260726T052920Z_8b141b\combined-probe\XRCombinedProbe_Data\CAREXR_Questionnaire_P002_20260726_173151_completed.csv,21.0,combined_high_repeat_1
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=fast; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.999999016735025,0.999999016735025,9.832649751903193e-07,2.0851,typical,60.4074,0.0,1.0,direct,0.9591866097549278,typical,0.0,few,typical,combined_high_repeat_1,5.0,0.8889,fast,Physical Demand,physicaldemand,P002,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P002\20260726T051950Z_2c7171\paxsm-response-calibration\PAXSMPersonalKnobReference_Data\PAXSM_PersonalKnobProfile_P002_20260726_172234_completed.csv,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P002\20260726T052920Z_8b141b\combined-probe\XRCombinedProbe_Data\CAREXR_Questionnaire_P002_20260726_173151_completed.csv,21.0,combined_high_repeat_1
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=fast; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999975323809539,0.9999975323809539,2.4676190464251277e-06,1.8869,typical,103.0724,0.0,1.0,direct,1.0599395834437437,typical,0.0,few,high,combined_high_repeat_1,5.0,1.2251,fast,Temporal Demand,temporal,P002,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P002\20260726T051950Z_2c7171\paxsm-response-calibration\PAXSMPersonalKnobReference_Data\PAXSM_PersonalKnobProfile_P002_20260726_172234_completed.csv,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P002\20260726T052920Z_8b141b\combined-probe\XRCombinedProbe_Data\CAREXR_Questionnaire_P002_20260726_173151_completed.csv,21.0,combined_high_repeat_1
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=fast; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999985982834515,0.9999985982834515,1.40171654865532e-06,5.2325,typical,64.6028,0.0,1.0,direct,0.3822264691829909,low,0.0,few,typical,combined_high_repeat_1,5.0,1.1116,fast,Performance,performance,P002,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P002\20260726T051950Z_2c7171\paxsm-response-calibration\PAXSMPersonalKnobReference_Data\PAXSM_PersonalKnobProfile_P002_20260726_172234_completed.csv,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P002\20260726T052920Z_8b141b\combined-probe\XRCombinedProbe_Data\CAREXR_Questionnaire_P002_20260726_173151_completed.csv,2.0,combined_high_repeat_1
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=fast; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999940618079551,0.9999940618079551,5.938192044353519e-06,6.402,slow,59.5481,0.0,1.0,direct,0.46860356138706655,low,0.0,few,typical,combined_high_repeat_1,5.0,1.8076,typical,Effort,effort,P002,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P002\20260726T051950Z_2c7171\paxsm-response-calibration\PAXSMPersonalKnobReference_Data\PAXSM_PersonalKnobProfile_P002_20260726_172234_completed.csv,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P002\20260726T052920Z_8b141b\combined-probe\XRCombinedProbe_Data\CAREXR_Questionnaire_P002_20260726_173151_completed.csv,21.0,combined_high_repeat_1
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999494067360034,5.059326399654338e-05,0.9999494067360034,2.0049,typical,78.7259,0.0,1.5,typical,0.9975559878298169,typical,1.0,typical,high,combined_high_repeat_1,5.0,0.9978,fast,Frustration,frustration,P002,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P002\20260726T051950Z_2c7171\paxsm-response-calibration\PAXSMPersonalKnobReference_Data\PAXSM_PersonalKnobProfile_P002_20260726_172234_completed.csv,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P002\20260726T052920Z_8b141b\combined-probe\XRCombinedProbe_Data\CAREXR_Questionnaire_P002_20260726_173151_completed.csv,19.0,combined_high_repeat_1
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999719532097971,2.804679020208559e-05,0.9999719532097971,1.9306,typical,72.2226,0.0,1.4444,typical,1.5539210608101108,high,2.0,typical,high,combined_high_repeat_2,4.0,1.0008,fast,Mental Demand,mentaldemand,P002,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P002\20260726T051950Z_2c7171\paxsm-response-calibration\PAXSMPersonalKnobReference_Data\PAXSM_PersonalKnobProfile_P002_20260726_172234_completed.csv,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P002\20260726T052920Z_8b141b\combined-probe\XRCombinedProbe_Data\CAREXR_Questionnaire_P002_20260726_173151_completed.csv,20.0,combined_high_repeat_2
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=fast; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999982264481433,0.9999982264481433,1.7735518570874729e-06,1.1955,fast,38.2134,0.0,1.0,direct,1.6729401923881222,high,0.0,few,typical,combined_high_repeat_2,5.0,1.0565,fast,Physical Demand,physicaldemand,P002,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P002\20260726T051950Z_2c7171\paxsm-response-calibration\PAXSMPersonalKnobReference_Data\PAXSM_PersonalKnobProfile_P002_20260726_172234_completed.csv,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P002\20260726T052920Z_8b141b\combined-probe\XRCombinedProbe_Data\CAREXR_Questionnaire_P002_20260726_173151_completed.csv,20.0,combined_high_repeat_2
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=fast; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999982264481433,0.9999982264481433,1.7735518570874729e-06,0.8615,fast,65.2814,0.0,1.0,direct,2.321532211259431,high,0.0,few,typical,combined_high_repeat_2,5.0,1.2098,fast,Temporal Demand,temporal,P002,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P002\20260726T051950Z_2c7171\paxsm-response-calibration\PAXSMPersonalKnobReference_Data\PAXSM_PersonalKnobProfile_P002_20260726_172234_completed.csv,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P002\20260726T052920Z_8b141b\combined-probe\XRCombinedProbe_Data\CAREXR_Questionnaire_P002_20260726_173151_completed.csv,21.0,combined_high_repeat_2
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9998600260146608,0.00013997398533923373,0.9998600260146608,1.195,fast,36.1137,0.0,1.4,typical,1.6736401673640167,high,1.0,typical,typical,combined_high_repeat_2,4.0,1.5448,typical,Performance,performance,P002,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P002\20260726T051950Z_2c7171\paxsm-response-calibration\PAXSMPersonalKnobReference_Data\PAXSM_PersonalKnobProfile_P002_20260726_172234_completed.csv,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P002\20260726T052920Z_8b141b\combined-probe\XRCombinedProbe_Data\CAREXR_Questionnaire_P002_20260726_173151_completed.csv,16.0,combined_high_repeat_2
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9998730264176247,0.00012697358237503644,0.9998730264176247,1.5011,fast,38.3,0.0,1.3333,typical,1.3323562720671507,typical,1.0,typical,typical,combined_high_repeat_2,4.0,1.2377,fast,Effort,effort,P002,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P002\20260726T051950Z_2c7171\paxsm-response-calibration\PAXSMPersonalKnobReference_Data\PAXSM_PersonalKnobProfile_P002_20260726_172234_completed.csv,C:\Users\ygao930\OneDrive - The University of Auckland\Desktop\CARE-XR Data\P002\20260726T052920Z_8b141b\combined-probe\XRCombinedProbe_Data\CAREXR_Questionnaire_P002_20260726_173151_completed.csv,17.0,combined_high_repeat_2
