axis,class_id,class_weight,conditional_probability,feature,is_modal_state,state
Y,Y1,0.41694993718024387,0.004931816265848922,decision_time_change,0,higher
Y,Y1,0.41694993718024387,0.39879330734926993,decision_time_change,0,lower
Y,Y1,0.41694993718024387,0.5962748763848811,decision_time_change,1,same
Y,Y1,0.41694993718024387,0.20186021458986708,interaction_exploration_change,0,higher
Y,Y1,0.41694993718024387,0.10345681609741707,interaction_exploration_change,0,lower
Y,Y1,0.41694993718024387,0.6946829693127159,interaction_exploration_change,1,same
Y,Y1,0.41694993718024387,0.39879330734926993,response_speed_change,0,higher
Y,Y1,0.41694993718024387,0.005060213687207331,response_speed_change,0,lower
Y,Y1,0.41694993718024387,0.5961464789635227,response_speed_change,1,same
Y,Y1,0.41694993718024387,0.49992562893691256,body_movement_change,0,higher
Y,Y1,0.41694993718024387,0.5000743710630875,body_movement_change,1,same
Y,Y1,0.41694993718024387,0.004926853647523002,accuracy_change,0,higher
Y,Y1,0.41694993718024387,0.20185815224125628,accuracy_change,0,lower
Y,Y1,0.41694993718024387,0.7932149941112208,accuracy_change,1,same
Y,Y2,0.583050062819756,0.9221597348580445,decision_time_change,1,higher
Y,Y2,0.583050062819756,0.0037344941357247527,decision_time_change,0,lower
Y,Y2,0.583050062819756,0.07410577100623073,decision_time_change,0,same
Y,Y2,0.583050062819756,0.9222638532704689,interaction_exploration_change,1,higher
Y,Y2,0.583050062819756,0.07420193565349051,interaction_exploration_change,0,lower
Y,Y2,0.583050062819756,0.0035342110760405404,interaction_exploration_change,0,same
Y,Y2,0.583050062819756,0.003734494135724753,response_speed_change,0,higher
Y,Y2,0.583050062819756,0.9927315116947235,response_speed_change,1,lower
Y,Y2,0.583050062819756,0.00353399416955183,response_speed_change,0,same
Y,Y2,0.583050062819756,0.9964541220306897,body_movement_change,1,higher
Y,Y2,0.583050062819756,0.0035458779693102677,body_movement_change,0,same
Y,Y2,0.583050062819756,0.07419703738368195,accuracy_change,0,higher
Y,Y2,0.583050062819756,0.4982822040834078,accuracy_change,1,lower
Y,Y2,0.583050062819756,0.42752075853291027,accuracy_change,0,same
