participantNumber,sessionNumber,conditionLabel,markLabel,markBase,itemId,qIndex0,qIndex1,enterCount,stage(A),stage(C),knobObjectName(A),knobActiveInHierarchy(A),knobObjectName(C),knobActiveInHierarchy(C),t_read_in(A),t_read_out(A),rt_read(A),t_answer_in(A),t_answer_out(A),rt_answer(A),t_conf_in(A),t_conf_out(A),rt_conf(A),t_firstMove_answer(A),rt_initiation_answer(A),t_firstMove_conf(A),rt_initiation_conf(A),tickCount,currentSlot,currentAngleY,slotChangeCount,reverseCount,pauseCount,confirmCount,minSlot,maxSlot,slotSpan,uniqueSlotsVisited,stillTimeSum,microAdjustTimeSum,microAdjustCount,normalAdjustTimeSum,normalAdjustCount,flickTimeSum,fastFlickCount,maxFlickVel,maxAbsVel,activeMoveTimeSum,activeMoveCount,totalAbsAngle,speedBandValid,speedMedian,speedMAD,speedThLow,speedThHigh,speedBandNote,t_read_in(C),t_read_out(C),rt_read(C),t_answer_in(C),t_answer_out(C),rt_answer(C),t_conf_in(C),t_conf_out(C),rt_conf(C),t_firstMove_answer(C),rt_initiation_answer(C),t_firstMove_conf(C),rt_initiation_conf(C),tickCount(C),currentSlot(C),currentAngleY(C),slotChangeCount(C),reverseCount(C),pauseCount(C),confirmCount(C),minSlot(C),maxSlot(C),slotSpan(C),uniqueSlotsVisited(C),stillTimeSum(C),microAdjustTimeSum(C),microAdjustCount(C),normalAdjustTimeSum(C),normalAdjustCount(C),flickTimeSum(C),fastFlickCount(C),maxFlickVel(C),maxAbsVel(C),activeMoveTimeSum(C),activeMoveCount(C),totalAbsAngle(C),speedBandValid(C),speedMedian(C),speedMAD(C),speedThLow(C),speedThHigh(C),speedBandNote(C),exportTimestampUTC,timing_corrected_from_stage_times,answer_initial_slot_inferred,answer_initial_slot_source,confidence_initial_slot_inferred,confidence_initial_slot_source
1,4,Pilot,Q1-1,Q1-1,l1_overview_check,0,1,1,Read,Submit,Knob,0,KnobC,0,4.388214,18.33828,13.950066000000001,18.33828,21.34703,3.008749999999999,-1,-1,-1,18.48834,0.149939,-1,-1,7,7.0,60,3,0,4,0,1,7,6,5,2.64493,0,0,0.358786,2,0,0,0,6.669397,0.358786,2,60,0,4.788193,1.194053,2.997113,15,,-1,-1,-1,-1,-1,-1,22.6656,25.17137,2.5057699999999983,-1,-1,22.78983,0.124073,5,5.0,60,2,0,2,0,3,5,2,3,2.380417,0,0,0.124073,2,0,0,0,8.05977,0.124073,2,60,0,6.02664,2.03313,2.976945,15,,20260107_055946,true,4.0,profile_center,3.0,profile_center
1,4,Pilot,Q2-1,Q2-1,l2_compare_options,1,2,1,Read,Submit,Knob,0,KnobC,0,25.17231,37.58809,12.415780000000002,37.58809,41.19326,3.605170000000001,-1,-1,-1,38.44958,0.86134,-1,-1,7,6.0,40,7,3,4,0,6,7,1,2,3.089207,1.376213,1,0.514874,1,0,0,0,37.45449,0.514874,1,140,0,14.19373,4.008185,8.181452,15,,-1,-1,-1,-1,-1,-1,42.57084,45.31317,2.7423300000000026,-1,-1,43.36355,0.792553,5,4.0,30,1,0,2,0,4,5,1,2,2.741653,0,0,0,1,0,0,0,1.261745,0,1,30,0,1.261745,0,0.261745,15,,20260107_055946,true,7.0,previous_item,5.0,previous_item
1,4,Pilot,Q3-1,Q3-1,l3_avoid_random,2,3,1,Read,Submit,Knob,0,KnobC,0,45.31399,52.81586,7.501870000000004,52.81586,55.83705,3.021189999999997,-1,-1,-1,52.9411,0.12508,-1,-1,7,5.0,20,3,1,6,0,5,7,2,3,2.895432,0,0,0.12508,3,0,0,0,7.994876,0.12508,3,60,0,2.568252,0.173324,1.568252,15,,-1,-1,-1,-1,-1,-1,56.97802,59.80389,2.825870000000002,-1,-1,57.11718,0.139008,5,4.0,30,2,1,2,0,4,5,1,2,2.686249,0,0,0.139008,2,0,0,0,7.193853,0.139008,2,60,0,5.309212,1.884641,2.48225,15,,20260107_055946,true,6.0,previous_item,4.0,previous_item
1,4,Pilot,Q4-1,Q4-1,l4_pause_if_unsure,3,4,1,Read,Submit,Knob,0,KnobC,0,59.80466,71.02328,11.218620000000001,71.02328,74.25342,3.230140000000006,-1,-1,-1,71.13438,0.11084,-1,-1,7,6.0,40,1,0,2,0,5,6,1,2,3.118484,0,0,0.11084,1,0,0,0,9.022026,0.11084,1,19.99999,0,9.022026,0,8.022026,15,,-1,-1,-1,-1,-1,-1,76.11823,78.48483,2.3666000000000054,-1,-1,76.25757,0.139122,5,4.0,30,2,1,2,0,4,5,1,2,2.226807,0,0,0.139122,2,0,0,0,7.187935,0.139122,2,60,0,5.39332,1.794616,2.701396,15,,20260107_055946,true,5.0,previous_item,4.0,previous_item
1,4,Pilot,Q5-1,Q5-1,l5_read_details,4,5,1,Read,Submit,Knob,0,KnobC,0,78.48561,88.21533,9.72972,88.21533,91.45858,3.2432500000000033,-1,-1,-1,88.36767,0.152184,-1,-1,7,7.0,60,1,0,2,0,6,7,1,2,3.090385,0,0,0.152184,1,0,0,0,6.571013,0.152184,1,20,0,6.571013,0,5.571013,15,,-1,-1,-1,-1,-1,-1,92.51633,94.70204,2.1857100000000003,-1,-1,92.71149,0.195007,5,5.0,60,1,0,1,0,4,5,1,2,1.990097,0,0,0.195007,1,0,0,0,5.128013,0.195007,1,30,0,5.128013,0,4.128013,15,,20260107_055946,true,6.0,previous_item,4.0,previous_item
1,4,Pilot,Q6-1,Q6-1,l6_break_down_complex,5,6,1,Read,Submit,Knob,0,KnobC,0,94.703,107.0353,12.332300000000004,107.0353,111.6429,4.607599999999991,-1,-1,-1,108.0932,1.057655,-1,-1,7,6.0,40,3,2,8,0,6,7,1,2,4.60688,2.727524,1,0,3,0,0,0,1.710832,0,3,60,0,0.945488,0.024132,0,15,,-1,-1,-1,-1,-1,-1,113.731,117.4476,3.7165999999999997,-1,-1,114.5102,0.779083,5,4.0,30,5,3,4,0,4,5,1,2,3.562874,1.53035,1,0.153137,3,0,0,0,23.91389,0.153137,3,150,0,3.123662,1.840103,0.363509,15,,20260107_055946,true,7.0,previous_item,5.0,previous_item
1,4,Pilot,Q7-1,Q7-1,l7_submit_when_confident,6,7,1,Read,Submit,Knob,0,KnobC,0,117.4484,137.2985,19.850099999999983,137.2985,139.6507,2.3522000000000105,-1,-1,-1,137.3672,0.068558,-1,-1,7,7.0,60,1,0,2,0,6,7,1,2,2.282944,0,0,0.068558,1,0,0,0,14.58625,0.068558,1,20,0,14.58625,0,13.58625,15,,-1,-1,-1,-1,-1,-1,141.3626,143.4923,2.129700000000014,-1,-1,141.4592,0.096512,5,5.0,60,1,0,1,0,4,5,1,2,2.032593,0,0,0.096512,1,0,0,0,10.36142,0.096512,1,30,0,10.36142,0,9.361423,15,,20260107_055946,true,6.0,previous_item,4.0,previous_item
1,4,Pilot,Q8-1,Q8-1,s1_focused,7,8,1,Read,Submit,Knob,0,KnobC,0,143.4931,147.4454,3.952300000000008,147.4454,149.548,2.1025999999999954,-1,-1,-1,-1,-1,-1,-1,7,7.0,60,0,0,2,0,7,7,0,1,2.101791,0,0,0,0,2.101791,1,0,0,2.101791,1,0,0,0,0,0,15,,-1,-1,-1,-1,-1,-1,150.8285,152.7638,1.9353000000000122,-1,-1,-1,-1,5,5.0,60,0,0,1,0,5,5,0,1,1.934753,0,0,0,0,1.934753,1,0,0,1.934753,1,0,0,0,0,0,15,,20260107_055946,true,7.0,previous_item,5.0,previous_item
1,4,Pilot,Q9-1,Q9-1,s2_distracted,8,9,1,Read,Submit,Knob,0,KnobC,0,152.7646,156.6749,3.9103000000000065,156.6749,159.9047,3.229799999999983,-1,-1,-1,157.1059,0.430878,-1,-1,7,4.0,0,3,0,8,0,4,7,3,4,3.229141,0,0,0,3,0,0,0,3.126419,0,3,60,0,2.657583,0.336739,1.657583,15,,-1,-1,-1,-1,-1,-1,161.143,165.0003,3.8573000000000093,-1,-1,161.561,0.417862,5,3.0,0,4,2,5,0,3,5,2,3,3.787308,2.003937,1,0.069321,4,0,0,0,14.42571,0.069321,4,120,0,3.346319,0.514377,2.346319,15,,20260107_055946,true,7.0,previous_item,5.0,previous_item
1,4,Pilot,Q10-1,Q10-1,s3_casual,9,10,1,Read,Submit,Knob,0,KnobC,0,165.0013,170.3167,5.315400000000011,170.3167,174.8557,4.539000000000016,-1,-1,-1,170.7624,0.445602,-1,-1,7,3.0,-20,5,1,12,0,1,4,3,4,4.538391,2.477371,1,0,5,0,0,0,2.316742,0,5,100,0,2.244153,0.072589,1.244153,15,,-1,-1,-1,-1,-1,-1,175.9962,178.3908,2.3946000000000254,-1,-1,176.2199,0.223618,5,2.0,-30,1,0,1,0,2,3,1,2,2.170288,0,0,0.223618,1,0,0,0,4.471921,0.223618,1,30,0,4.471921,0,3.471921,15,,20260107_055946,true,4.0,previous_item,3.0,previous_item
